purchase_id,date,supplier_name,item_name,category,unit,quantity_purchased,unit_cost,total_cost,delivery_status,expected_delivery,payment_method,notes
P2000,2010-01-01,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 30, 8, 94","12.5, 1.2, 0.8, 0.1",276.8,Completed,,Bank Transfer,
P2001,2010-01-08,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 30, 8, 61","12.5, 1.2, 0.8, 0.1",136.0,Completed,,Bank Transfer,
P2002,2010-01-15,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","8, 25, 6, 52","12.5, 1.2, 0.8, 0.1",140.0,Completed,,Bank Transfer,
P2003,2010-01-22,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 27, 9, 83","12.5, 1.2, 0.8, 0.1",222.9,Completed,,Bank Transfer,
P2004,2010-01-29,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 27, 5, 92","12.5, 1.2, 0.8, 0.1",258.1,Completed,,Bank Transfer,
P2005,2010-02-05,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","14, 13, 9, 74","12.5, 1.2, 0.8, 0.1",205.2,Completed,,Bank Transfer,
P2006,2010-02-12,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 11, 6, 92","12.5, 1.2, 0.8, 0.1",177.2,Completed,,Bank Transfer,
P2007,2010-02-19,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","10, 22, 7, 91","12.5, 1.2, 0.8, 0.1",166.1,Completed,,Bank Transfer,
P2008,2010-02-26,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","15, 35, 8, 66","12.5, 1.2, 0.8, 0.1",242.5,Completed,,Bank Transfer,
P2009,2010-03-05,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","18, 24, 7, 56","12.5, 1.2, 0.8, 0.1",265.0,Completed,,Bank Transfer,
P2010,2010-03-12,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","7, 22, 5, 70","12.5, 1.2, 0.8, 0.1",124.9,Completed,,Bank Transfer,
P2011,2010-03-19,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","12, 29, 10, 51","12.5, 1.2, 0.8, 0.1",197.9,Completed,,Bank Transfer,
P2012,2010-03-26,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","17, 35, 7, 100","12.5, 1.2, 0.8, 0.1",270.1,Completed,,Bank Transfer,
P2013,2010-04-02,Distribuciones Costa,"Coffee Beans, Milk, Sugar, Paper Cups","Ingredient, Ingredient, Ingredient, Packaging","kg, L, kg, units","6, 40, 9, 96","12.5, 1.2, 0.8, 0.1",139.8,Completed,,Bank Transfer,
